appid,name,discount
337760,Decisive Campaigns: The Blitzkrieg from Warsaw to Paris,75%
338070,ルナティックドーン レジェンドパック,nan
338080,A列車で行こう8,nan
338090,ATLAS レジェンドパック,nan
338100,栄冠は君に レジェンドパック,nan
338260,Usagi Yojimbo: Way of the Ronin,0
338310,Warden: Melody of the Undergrowth,50%
338530,Trouble In The Manor,51%
338590,The Race for the White House,50%
339160,Tales of the Orient: The Rising Sun,50%
339720,Debugger 3.16: Hack'n'Run,nan
340140,Elemental World Part 1:Rise Of The Guardians,50%
340250,Crystal Towers 2 XL,nan
340410,SuperBike TT,nan
340840,The Corridor: On Behalf Of The Dead,50%
341040,Wars Across The World,25%
341120,Glorkian Warrior: The Trials Of Glork,60%
341150,Age of Fear 2: The Chaos Lord GOLD,0
