index,appid,name,release_date,english,developer,publisher,required_age,achievements,total_ratings,ratingpc,price,discount,discount_bin,windows,linux,mac,cat_Multi-player,cat_Online Multi-Player,cat_Single-player,cat_Steam Cloud,cat_Steam Achievements,cat_Steam Trading Cards,cat_Partial Controller Support,cat_Stats,cat_Co-op,cat_Full controller support,cat_Steam Leaderboards,cat_Shared/Split Screen,gen_Action,gen_Adventure,gen_Indie,gen_Strategy,gen_RPG,gen_Simulation,gen_Casual,gen_Early Access,all_time_peak,may_19_av,may_19_peak,jun_19_av,jun_19_peak,jul_19_av,may_jun_avuplift,may_jun_avupliftpc,jun_jul_avuplift,jun_jul_avupliftpc
4896,360400,Zombie Quarantine,2017-06-23,1,Tobop Productions,Shangri-La Game Studios Ltd,0,0,3,0.3333333333333333,0.79,0.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,9.0,0.15,3.0,0.03,1.0,0.03,-0.12,-0.8,0.0,0.0
4897,360430,Mafia III,2016-10-06,1,Hangar 13;Aspyr (Mac),2K;Aspyr (Mac),18,1,27016,0.4947438554930412,34.99,75.0,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,47409.0,490.43,1146.0,469.99,1056.0,630.66,-20.439999999999998,-0.04167771139612177,160.66999999999996,0.3418583374114342
4898,360450,Kiai Resonance,2015-04-23,1,Absorb Reality,Flying Interactive,0,1,170,0.8117647058823529,3.99,80.0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,263.0,0.1,2.0,0.18,6.0,0.24,0.07999999999999999,0.7999999999999998,0.06,0.3333333333333333
4899,360510,Into the Stars,2016-03-04,1,Fugitive Games,Iceberg Interactive,0,1,463,0.43628509719222464,14.99,80.0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,250.0,0.74,8.0,0.31,4.0,0.6,-0.43,-0.581081081081081,0.29,0.9354838709677419
4901,360550,Cursed Sight,2015-08-03,1,InvertMouse,InvertMouse,0,1,164,0.8780487804878049,4.79,50.0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,34.0,0.63,5.0,0.46,3.0,0.21,-0.16999999999999998,-0.2698412698412698,-0.25,-0.5434782608695652
4903,360590,"Once Bitten, Twice Dead!",2015-07-07,1,Gamestarters,Gamestarters Publisher;Gamestarter's,0,1,113,0.1415929203539823,3.99,0.0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,40.0,0.81,2.0,0.87,3.0,1.02,0.05999999999999994,0.074074074074074,0.15000000000000002,0.17241379310344832
4905,360640,12 Labours of Hercules II: The Cretan Bull,2015-06-05,1,Jetdogs Studios;Zoom Out Games,Jetdogs Studios,0,1,1838,0.8977149075081611,1.99,80.0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1606.0,6.58,46.0,5.98,19.0,5.66,-0.5999999999999996,-0.09118541033434645,-0.3200000000000003,-0.05351170568561877
4906,360650,12 Labours of Hercules III: Girl Power,2015-08-07,1,Jetdogs Studios;Zoom Out Games,Jetdogs Studios,0,1,839,0.8688915375446961,1.99,80.0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1601.0,6.92,41.0,6.7,19.0,6.22,-0.21999999999999975,-0.03179190751445083,-0.4800000000000004,-0.07164179104477618
4909,360740,Downwell,2015-10-15,1,Moppin,Devolver Digital,0,1,4635,0.9678532901833873,1.99,50.0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,405.0,19.1,38.0,20.9,45.0,21.44,1.7999999999999972,0.09424083769633493,0.5400000000000027,0.02583732057416281
4910,360750,StarFence: Heroic Edition,2015-04-20,1,Casualogic,Droid Riot,0,1,42,0.5238095238095238,0.79,51.0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1857.0,3.65,50.0,2.03,14.0,2.41,-1.62,-0.44383561643835623,0.38000000000000034,0.18719211822660117
